2022-03-13T23:04:49.840651300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:49.841109300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:50.360931300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:50.361140900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:51.794776+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.876737700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.876816500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877071200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877249900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877484300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877566700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877695800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877829200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.877966700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.878015600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.878111+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.878151800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.878377700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:57.878425200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.298616+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.298802300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.298941800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.299053600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.638380900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.638591800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.877133700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.877804700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.878526100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.878686400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.879278200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.879813+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.880378100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:58.881288700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:59.393152400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:04:59.393292+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.908725200+08:00 - transfer tcp packet error, tun not supported udp
